Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83676;01/01/1981;0000;;32.1;;11.3;4.6;25.36;68;2.833333;
83676;01/01/1981;1200;0;;19.1;;;;;;
83676;02/01/1981;0000;;31;;10.2;5.2;;;;
83676;02/01/1981;1200;0;;21;;;;;;
83676;04/01/1981;0000;;28.3;;3.9;2.2;23.92;85.25;2.6;
83676;04/01/1981;1200;0;;20.6;;;;;;
83676;05/01/1981;0000;;31.4;;6;2.1;25.56;72.5;2.433333;
83676;05/01/1981;1200;3.4;;20.9;;;;;;
83676;06/01/1981;0000;;34.1;;10.4;4.3;;;;
83676;06/01/1981;1200;0;;21.8;;;;;;
83676;07/01/1981;0000;;29;;2.6;5.6;23.62;88;2.266667;
83676;07/01/1981;1200;10.8;;21.3;;;;;;
83676;08/01/1981;0000;;30.4;;3.5;1.9;24.86;78.75;1.966667;
83676;08/01/1981;1200;6.9;;20.2;;;;;;
83676;09/01/1981;0000;;29.4;;2.3;3;23.82;93;1.333333;
83676;09/01/1981;1200;0.1;;21.4;;;;;;
83676;10/01/1981;0000;;28.3;;1.3;1.2;23.58;88.5;2.4;
83676;10/01/1981;1200;5.6;;20.8;;;;;;
83676;11/01/1981;0000;;27.3;;1.8;1.5;23.62;94.25;2.766667;
83676;11/01/1981;1200;39.4;;21.2;;;;;;
83676;12/01/1981;0000;;26.9;;2.4;1.3;23.28;95.5;3.7;
83676;12/01/1981;1200;9;;20.5;;;;;;
83676;13/01/1981;0000;;27.6;;0.4;1.3;23.04;94.25;3.133333;
83676;13/01/1981;1200;14;;21.4;;;;;;
83676;14/01/1981;0000;;27.8;;1.5;1.1;23.14;90.25;4.866667;
83676;14/01/1981;1200;7.8;;21.4;;;;;;
83676;15/01/1981;0000;;28.3;;2.4;1.4;23.7;94.5;3.466667;
83676;15/01/1981;1200;12.5;;21.2;;;;;;
83676;16/01/1981;0000;;31.1;;5.4;1.4;24.98;86.75;2.566667;
83676;16/01/1981;1200;6.9;;20.7;;;;;;
83676;17/01/1981;0000;;29.3;;2.8;2.4;25.32;87.25;2.8;
83676;17/01/1981;1200;0;;22.2;;;;;;
83676;18/01/1981;0000;;31.8;;3.8;2.4;;;;
83676;18/01/1981;1200;0.8;;22.7;;;;;;
83676;19/01/1981;0000;;31.2;;4.9;3.2;24.3;85.5;3.2;
83676;19/01/1981;1200;0.8;;21;;;;;;
83676;20/01/1981;0000;;30.6;;3.1;2.9;23.9;89;2.766667;
83676;20/01/1981;1200;30.6;;20;;;;;;
83676;21/01/1981;0000;;26;;1.2;1.7;23.12;92;2.133333;
83676;21/01/1981;1200;19.2;;20.1;;;;;;
83676;22/01/1981;0000;;24.1;;0;0.9;22.14;97.5;1.933333;
83676;22/01/1981;1200;10.8;;20.2;;;;;;
83676;23/01/1981;0000;;28.5;;7.1;0.8;24.38;85.25;4.933333;
83676;23/01/1981;1200;23.3;;20.4;;;;;;
83676;24/01/1981;0000;;30.4;;7.2;2.5;24.34;84;2.366667;
83676;24/01/1981;1200;0;;20.6;;;;;;
83676;25/01/1981;0000;;30.2;;6.2;2.8;24.7;82;3.266667;
83676;25/01/1981;1200;32.2;;20.4;;;;;;
83676;26/01/1981;0000;;26.3;;0.8;2.8;22.98;89.5;1.633333;
83676;26/01/1981;1200;5.1;;20.7;;;;;;
83676;27/01/1981;0000;;30.5;;10;1.6;24.48;74.5;3.3;
83676;27/01/1981;1200;0.7;;21;;;;;;
83676;28/01/1981;0000;;29.9;;10.9;4.3;24.74;70.25;2.3;
83676;28/01/1981;1200;0;;19.7;;;;;;
83676;29/01/1981;0000;;31.5;;11.8;4.5;;;;
83676;29/01/1981;1200;0;;20.1;;;;;;
83676;30/01/1981;0000;;32.7;;8.9;4;26.58;71.25;1.9;
83676;30/01/1981;1200;0;;21.2;;;;;;
83676;31/01/1981;0000;;31.2;;3.8;3.6;25;78.75;2.433333;
83676;31/01/1981;1200;3.2;;21.1;;;;;;
83676;02/02/1981;0000;;32.2;;11.4;4.3;;;;
83676;02/02/1981;1200;0;;21.8;;;;;;
83676;03/02/1981;0000;;32.6;;10.1;5.3;;;;
83676;03/02/1981;1200;0;;21.9;;;;;;
83676;04/02/1981;0000;;34.3;;10.1;4.9;26.52;70.25;4.6;
83676;04/02/1981;1200;0;;21.4;;;;;;
83676;05/02/1981;0000;;33.3;;9.1;5.2;;;;
83676;05/02/1981;1200;0;;21.1;;;;;;
83676;06/02/1981;0000;;33.2;;6.8;4.6;24.62;80;2.133333;
83676;06/02/1981;1200;0;;18.9;;;;;;
