Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83669;01/01/1981;0000;;30,4;;6;4,9;23,52;87,25;0,333333;
83669;01/01/1981;1200;0;;18,2;;;;;;
83669;02/01/1981;0000;;31,2;;9,5;3,4;;;;
83669;02/01/1981;1200;29,4;;19,4;;;;;;
83669;03/01/1981;0000;;26,8;;1,6;4,9;22,02;88,25;2;
83669;03/01/1981;1200;0;;20,4;;;;;;
83669;04/01/1981;0000;;30,3;;9,2;1,5;23,64;83;0,666667;
83669;04/01/1981;1200;10,7;;20,2;;;;;;
83669;05/01/1981;0000;;30,4;;3,6;2,9;;;;
83669;05/01/1981;1200;16,7;;20,5;;;;;;
83669;06/01/1981;0000;;32,6;;6,4;3,2;24,94;84,75;0;
83669;06/01/1981;1200;0;;19,4;;;;;;
83669;07/01/1981;0000;;26,2;;0;2,8;22,42;90;0;
83669;07/01/1981;1200;20,4;;20;;;;;;
83669;08/01/1981;0000;;29,7;;0,8;1,9;24,1;77;0,333333;
83669;08/01/1981;1200;1,1;;20,2;;;;;;
83669;09/01/1981;0000;;28,2;;0,2;3,3;22,78;91,25;0;
83669;09/01/1981;1200;0;;20,2;;;;;;
83669;10/01/1981;0000;;28,8;;1,2;1,1;22,56;86,25;0;
83669;10/01/1981;1200;40,1;;20,3;;;;;;
83669;11/01/1981;0000;;27;;0,8;1,2;22,14;92,5;0;
83669;11/01/1981;1200;35,5;;20,2;;;;;;
83669;13/01/1981;0000;;26,4;;1,4;1,6;22,8;93,25;0,333333;
83669;13/01/1981;1200;13,3;;20,5;;;;;;
83669;15/01/1981;0000;;24,7;;0;0,9;22,58;94,5;0;
83669;15/01/1981;1200;15,3;;21,2;;;;;;
83669;16/01/1981;0000;;29,2;;1,7;0,8;23,62;86,25;0;
83669;16/01/1981;1200;45;;20,8;;;;;;
83669;17/01/1981;0000;;31,4;;7,4;1,6;;;;
83669;17/01/1981;1200;2,2;;21,4;;;;;;
83669;18/01/1981;0000;;32,4;;6,4;3,7;;;;
