Data Medicao,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
01/01/1981,0,30.2,16,9.7,4,22.38,65.75,1.7
02/01/1981,0,29.2,17.4,6.1,4.2,23.22,72.5,2.866667
03/01/1981,0.2,26.5,20.2,0.4,3,22.44,82,3.333333
04/01/1981,1,28.3,20,3.3,2.2,24.28,74,1.866667
05/01/1981,3.6,28.6,20.4,1.6,2.6,23.06,84.25,1.466667
06/01/1981,1.1,31.2,19.8,3.6,1.6,24.04,73.75,1.666667
07/01/1981,14.4,28.1,18.6,2,2.8,21.94,86,2.533333
08/01/1981,8.7,27.8,19.6,2.1,1.5,22.5,83,1.533333
09/01/1981,0,29,19.2,2.1,1.9,22.5,84.75,1.8
10/01/1981,48.8,29,19.4,3.2,1.4,23.5,78.25,2.366667
11/01/1981,0.2,26.7,20.4,0,2.4,22.64,89,1.166667
12/01/1981,7.8,27.2,20.3,2.8,1.5,23.08,81.5,1.366667
13/01/1981,13.2,28.5,20.1,3.3,1.6,23.28,88.5,2.3
14/01/1981,104.4,27.3,19.9,0.6,1.5,22.74,94.75,2.5
15/01/1981,50.2,26.5,19.8,1.1,0.5,22.32,80.5,2.3
16/01/1981,1.2,27.4,19.5,2.4,2.1,22.66,78.5,2.4
17/01/1981,0,31.2,20.1,9.1,2.8,25,76,2.3
18/01/1981,2,32.8,20.5,6.8,2.9,24.6,77.5,1.166667
19/01/1981,1.7,31.2,21,5.4,3.3,23.88,82,1.7
20/01/1981,1,29.2,19.5,3.7,2.2,22.42,93.25,1.866667
21/01/1981,50.4,23.7,19.1,0,1.6,21.42,86.75,1.7
22/01/1981,5.4,24.2,19.4,0,1.2,21.24,71.75,2.866667
23/01/1981,0,29.2,17.4,8.5,3.6,22.34,65.75,2.8
24/01/1981,0,30.3,18.5,7.9,3.8,23.72,68,2.533333
25/01/1981,0,29.4,19.6,6,3.6,23.4,71.75,2.866667
26/01/1981,0,30.1,20.2,2.7,3.2,23.52,73,2.533333
27/01/1981,25.4,29.6,19.4,8,2.5,23.52,75.5,2.366667
28/01/1981,25.3,30.6,19.1,10,2.7,24.24,67.5,2.2
29/01/1981,0,31.4,17.6,8.1,3.6,24.78,67.25,1.933333
30/01/1981,0,32.2,19.4,7.9,3.5,24.38,72.5,1.733333
31/01/1981,0.7,28.8,20.5,1.4,3.9,23.84,75.5,1.366667
01/02/1981,0,32.1,20.4,11.3,3,25.88,61.75,2.633333
02/02/1981,0,31.7,20.8,8.3,4.8,25.98,65.75,2.6
03/02/1981,0,31.8,21.6,6.5,4.6,25.66,69.5,2.433333
04/02/1981,0,32.6,20.6,7.3,4.1,25.52,77.75,2.6
05/02/1981,0.5,29.5,21.1,3.4,3.1,24.7,72,2.633333
06/02/1981,0,29.4,19.6,8.2,3.4,23.9,71.5,3.1
07/02/1981,,,,,,,,
08/02/1981,0,29.9,17.3,5.5,3.1,22.62,79.5,1.133333
09/02/1981,12.2,29.8,19,4.1,2.1,23.78,79,1.333333
